"Name","Receptions","Yards","Average","Avrage/Game","Long","TD","20+","40+","1st","1st%","Fumbles"
"Adam Humphries",61.,631.,10.3,39.4,43.,1.,5.,1.,34.,55.7,1.
"Adam Thielen",91.,1276.,14.,79.8,"65T",4.,20.,5.,59.,64.8,3.
"A.J. Green",75.,1078.,14.4,67.4,"77T",8.,9.,4.,55.,73.3,2.
"Albert Wilson",42.,554.,13.2,42.6,"63T",3.,4.,1.,32.,76.2,0.
"Aldrick Robinson",19.,260.,13.7,16.2,"45T",2.,3.,1.,12.,63.2,0.
"Alex Erickson",12.,180.,15.,11.2,37.,1.,3.,0.,9.,75.,1.
"Allen Hurns",39.,484.,12.4,48.4,50.,2.,4.,1.,28.,71.8,0.
"Allen Robinson",1.,17.,17.,17.,17.,0.,0.,0.,1.,100.,0.
"Alshon Jeffery",57.,789.,13.8,49.3,"53T",9.,8.,1.,44.,77.2,0.
"Amari Cooper",48.,680.,14.2,48.6,"87T",7.,9.,3.,28.,58.3,1.
"Andre Holmes",13.,120.,9.2,8.6,36.,3.,1.,0.,10.,76.9,0.
"Andre Roberts",1.,12.,12.,0.8,12.,0.,0.,0.,1.,100.,0.
"Antonio Brown",101.,1533.,15.2,109.5,57.,9.,27.,7.,71.,70.3,3.
"Bennie Fowler",29.,350.,12.1,21.9,29.,3.,5.,0.,18.,62.1,0.
"Bobo Wilson",1.,18.,18.,6.,"18T",1.,0.,0.,1.,100.,0.
"Brandin Cooks",65.,1082.,16.6,67.6,"64T",7.,18.,7.,42.,64.6,0.
"Brandon LaFell",52.,548.,10.5,34.2,45.,3.,6.,1.,25.,48.1,1.
"Breshad Perriman",10.,77.,7.7,7.,14.,0.,0.,0.,3.,30.,0.
"Brian Quick",6.,76.,12.7,6.9,31.,0.,1.,0.,5.,83.3,0.
"Brice Butler",15.,317.,21.1,24.4,53.,3.,7.,2.,10.,66.7,0.
"Bruce Ellington",29.,330.,11.4,30.,35.,2.,6.,0.,14.,48.3,1.
"Chad Williams",3.,31.,10.3,5.2,15.,0.,0.,0.,1.,33.3,0.
"Charone Peake",1.,3.,3.,1.,3.,0.,0.,0.,1.,100.,0.
"Chester Rogers",23.,284.,12.3,25.8,"61T",1.,2.,1.,15.,65.2,0.
"Chris Conley",11.,175.,15.9,35.,35.,0.,3.,0.,8.,72.7,0.
"Chris Godwin",34.,525.,15.4,32.8,70.,1.,4.,1.,27.,79.4,0.
"Chris Hogan",34.,439.,12.9,48.8,"47T",5.,6.,1.,22.,64.7,0.
"Chris Moore",18.,248.,13.8,19.1,"30T",3.,5.,0.,11.,61.1,0.
"Cody Core",0.,0.,"--",0.,"--",0.,0.,0.,0.,"--",0.
"Cody Latimer",19.,287.,15.1,26.1,32.,2.,6.,0.,15.,78.9,0.
"Cole Beasley",36.,314.,8.7,20.9,54.,4.,2.,1.,20.,55.6,0.
"Cooper Kupp",62.,869.,14.,57.9,64.,5.,12.,2.,42.,67.7,1.
"Cordarrelle Patterson",31.,309.,10.,19.3,59.,0.,3.,2.,13.,41.9,0.
"Corey Coleman",23.,305.,13.3,33.9,44.,2.,4.,1.,17.,73.9,0.
"Corey Davis",34.,375.,11.,34.1,37.,0.,4.,0.,17.,50.,1.
"Curtis Samuel",15.,115.,7.7,12.8,23.,0.,2.,0.,6.,40.,0.
"Damiere Byrd",10.,105.,10.5,13.1,31.,2.,2.,0.,5.,50.,0.
"Danny Amendola",61.,659.,10.8,43.9,27.,2.,7.,0.,39.,63.9,1.
"Darrius Heyward-Bey",2.,47.,23.5,2.9,44.,0.,1.,1.,1.,50.,0.
"Davante Adams",74.,885.,12.,63.2,"55T",10.,8.,3.,45.,60.8,0.
"DeAndre Hopkins",96.,1378.,14.4,91.9,"72T",13.,24.,2.,69.,71.9,1.
"De'Anthony Thomas",14.,143.,10.2,8.9,"57T",2.,2.,1.,4.,28.6,0.
"Dede Westbrook",27.,339.,12.6,48.4,29.,1.,6.,0.,15.,55.6,1.
"Demarcus Robinson",21.,212.,10.1,13.2,33.,0.,1.,0.,13.,61.9,0.
"Demaryius Thomas",83.,949.,11.4,59.3,40.,5.,15.,1.,53.,63.9,1.
"Deonte Thompson",27.,430.,15.9,39.1,46.,1.,7.,2.,17.,63.,0.
"DeSean Jackson",50.,668.,13.4,47.7,41.,3.,10.,1.,36.,72.,0.
"DeVante Parker",57.,670.,11.8,51.5,36.,1.,9.,0.,33.,57.9,1.
"Devin Funchess",63.,840.,13.3,52.5,44.,8.,15.,1.,40.,63.5,0.
"Donte Moncrief",26.,391.,15.,32.6,"60T",2.,5.,2.,22.,84.6,0.
"Dontrelle Inman",23.,334.,14.5,41.8,26.,1.,4.,0.,18.,78.3,0.
"Doug Baldwin",75.,991.,13.2,61.9,54.,8.,18.,3.,44.,58.7,0.
"Eli Rogers",18.,149.,8.3,10.6,"18T",1.,0.,0.,9.,50.,0.
"Emmanuel Sanders",47.,555.,11.8,46.2,38.,2.,11.,0.,30.,63.8,0.
"Freddie Martino",5.,96.,19.2,12.,39.,0.,1.,0.,4.,80.,0.
"Geronimo Allison",23.,253.,11.,16.9,72.,0.,1.,1.,10.,43.5,1.
"Golden Tate",92.,1003.,10.9,62.7,"71T",5.,10.,3.,44.,47.8,1.
"Isaiah McKenzie",4.,29.,7.3,2.6,14.,0.,0.,0.,2.,50.,0.
"Jakeem Grant",13.,203.,15.6,12.7,"65T",2.,3.,1.,9.,69.2,0.
"Jamison Crowder",66.,789.,12.,52.6,41.,3.,12.,1.,37.,56.1,1.
"Jarius Wright",18.,198.,11.,12.4,30.,2.,3.,0.,13.,72.2,0.
"Jaron Brown",31.,477.,15.4,29.8,"52T",4.,12.,1.,23.,74.2,0.
"Jarvis Landry",112.,987.,8.8,61.7,49.,9.,6.,1.,60.,53.6,3.
"Jehu Chesson",2.,18.,9.,1.5,10.,0.,0.,0.,2.,100.,0.
"Jeremy Kerley",22.,217.,9.9,27.1,"31T",1.,2.,0.,13.,59.1,1.
"Jermaine Kearse",65.,810.,12.5,50.6,51.,5.,9.,4.,37.,56.9,1.
"J.J. Nelson",29.,508.,17.5,31.8,46.,2.,6.,2.,21.,72.4,1.
"John Brown",21.,299.,14.2,29.9,52.,3.,2.,1.,15.,71.4,0.
"Johnny Holton",9.,218.,24.2,13.6,"64T",3.,3.,3.,5.,55.6,2.
"John Ross",0.,0.,"--",0.,"--",0.,0.,0.,0.,"--",0.
"JoJo Natson",2.,18.,9.,2.6,19.,0.,0.,0.,1.,50.,0.
"Jordan Matthews",25.,282.,11.3,28.2,47.,1.,3.,1.,14.,56.,1.
"Jordy Nelson",53.,482.,9.1,32.1,58.,6.,4.,1.,38.,71.7,0.
"Josh Bellamy",24.,376.,15.7,25.1,"46T",1.,4.,1.,17.,70.8,0.
"Josh Doctson",35.,502.,14.3,31.4,"52T",6.,6.,2.,25.,71.4,0.
"Josh Gordon",18.,335.,18.6,67.,54.,1.,5.,1.,12.,66.7,0.
"Josh Malone",6.,63.,10.5,5.7,"25T",1.,1.,0.,3.,50.,0.
"Josh Reynolds",11.,104.,9.5,6.5,28.,1.,1.,0.,7.,63.6,0.
"JuJu Smith-Schuster",58.,917.,15.8,65.5,"97T",7.,12.,6.,39.,67.2,0.
"Julio Jones",88.,1444.,16.4,90.2,53.,3.,23.,4.,67.,76.1,0.
"Justin Hardy",20.,221.,11.,13.8,27.,3.,3.,0.,13.,65.,1.
"Justin Hunter",4.,23.,5.8,3.3,7.,1.,0.,0.,2.,50.,0.
"Kamar Aiken",15.,133.,8.9,8.9,21.,0.,1.,0.,7.,46.7,0.
"Keelan Cole",42.,748.,17.8,46.8,"75T",3.,11.,4.,32.,76.2,2.
