"Name","Receptions","Yards","Average","Avrage/Game","Long","TD","20+","40+","1st","1st%","Fumbles"
"Keenan Allen",102.,1393.,13.7,87.1,51.,6.,18.,4.,74.,72.5,1.
"Kelvin Benjamin",16.,217.,13.6,36.2,35.,1.,4.,0.,9.,56.3,0.
"Kendrick Bourne",16.,257.,16.1,23.4,54.,0.,3.,1.,12.,75.,0.
"Kenny Golladay",28.,477.,17.,43.4,"54T",3.,8.,5.,18.,64.3,0.
"Kenny Stills",58.,847.,14.6,52.9,"61T",6.,14.,2.,36.,62.1,4.
"Kevin White",2.,6.,3.,6.,6.,0.,0.,0.,0.,0.,0.
"Laquon Treadwell",20.,200.,10.,12.5,25.,0.,2.,0.,12.,60.,1.
"Larry Fitzgerald",109.,1156.,10.6,72.2,37.,6.,16.,0.,66.,60.6,1.
"Leonte Carroo",7.,69.,9.9,4.9,21.,0.,1.,0.,4.,57.1,0.
"Marcus Johnson",5.,45.,9.,4.5,16.,0.,0.,0.,3.,60.,1.
"Marquise Goodwin",56.,962.,17.2,60.1,"83T",2.,13.,5.,46.,82.1,0.
"Martavis Bryant",50.,603.,12.1,40.2,51.,3.,7.,1.,30.,60.,0.
"Marvin Hall",2.,60.,30.,7.5,"40T",1.,2.,1.,2.,100.,0.
"Marvin Jones",61.,1101.,18.,68.8,58.,9.,20.,6.,44.,72.1,0.
"Maurice Harris",4.,62.,15.5,10.3,"36T",1.,1.,0.,3.,75.,0.
"Michael Crabtree",58.,618.,10.7,44.1,"41T",8.,8.,2.,35.,60.3,1.
"Michael Floyd",10.,78.,7.8,7.1,19.,0.,0.,0.,3.,30.,0.
"Michael Thomas",104.,1245.,12.,77.8,43.,5.,22.,1.,70.,67.3,0.
"Mike Evans",71.,1001.,14.1,66.7,"42T",5.,9.,2.,55.,77.5,1.
"Mike Wallace",52.,748.,14.4,49.9,66.,4.,11.,4.,33.,63.5,0.
"Mike Williams",11.,95.,8.6,9.5,20.,0.,1.,0.,7.,63.6,0.
"Mohamed Sanu",67.,703.,10.5,46.9,25.,5.,10.,0.,41.,61.2,0.
"Nelson Agholor",62.,768.,12.4,48.,"72T",8.,9.,3.,35.,56.5,0.
"Nick Williams",3.,30.,10.,30.,14.,0.,0.,0.,3.,100.,0.
"Noah Brown",4.,33.,8.3,2.5,14.,0.,0.,0.,3.,75.,0.
"Odell Beckham",25.,302.,12.1,75.5,"48T",3.,2.,2.,15.,60.,0.
"Paul Richardson",44.,703.,16.,43.9,"61T",6.,13.,3.,33.,75.,0.
"Phillip Dorsett",12.,194.,16.2,12.9,39.,0.,4.,0.,8.,66.7,0.
"Pierre Garcon",40.,500.,12.5,62.5,59.,0.,6.,1.,25.,62.5,0.
"Randall Cobb",66.,653.,9.9,43.5,46.,4.,7.,1.,29.,43.9,1.
"Rashard Higgins",27.,312.,11.6,20.8,"56T",2.,4.,1.,13.,48.1,1.
"Rishard Matthews",53.,795.,15.,56.8,"75T",4.,13.,2.,36.,67.9,0.
"Robby Anderson",63.,941.,14.9,58.8,"69T",7.,17.,3.,36.,57.1,0.
"Robert Woods",56.,781.,13.9,65.1,"94T",5.,12.,2.,36.,64.3,1.
"Russell Shepard",17.,202.,11.9,13.5,"40T",1.,1.,1.,9.,52.9,1.
"Ryan Grant",45.,573.,12.7,35.8,"40T",4.,10.,1.,29.,64.4,0.
"Ryan Switzer",6.,41.,6.8,2.6,12.,0.,0.,0.,4.,66.7,0.
"Sammie Coates",6.,70.,11.7,5.8,38.,0.,1.,0.,2.,33.3,0.
"Sammy Watkins",39.,593.,15.2,39.5,"67T",8.,9.,2.,33.,84.6,0.
"Seth Roberts",43.,455.,10.6,30.3,29.,1.,6.,0.,22.,51.2,2.
"Shelton Gibson",2.,11.,5.5,2.2,6.,0.,0.,0.,0.,0.,0.
"Stefon Diggs",64.,849.,13.3,60.6,"59T",8.,14.,3.,42.,65.6,0.
"Sterling Shepard",59.,731.,12.4,66.5,"77T",2.,7.,3.,36.,61.,1.
"Tavon Austin",13.,47.,3.6,2.9,13.,0.,0.,0.,2.,15.4,1.
"Taylor Gabriel",33.,378.,11.5,23.6,"40T",1.,4.,2.,17.,51.5,0.
"Taywan Taylor",16.,231.,14.4,14.4,"53T",1.,4.,2.,9.,56.3,0.
"Ted Ginn",53.,787.,14.8,52.5,"54T",4.,15.,5.,32.,60.4,0.
"Terrance Williams",53.,568.,10.7,35.5,56.,0.,6.,1.,31.,58.5,0.
"Terrelle Pryor",20.,240.,12.,26.7,"44T",1.,3.,1.,15.,75.,0.
"T.J. Jones",30.,399.,13.3,28.5,34.,1.,6.,0.,22.,73.3,0.
"Tommylee Lewis",10.,116.,11.6,7.7,52.,1.,2.,1.,4.,40.,0.
"Torrey Smith",36.,430.,11.9,26.9,"59T",2.,6.,2.,11.,30.6,0.
"Travis Benjamin",34.,567.,16.7,35.4,"62T",4.,10.,4.,20.,58.8,0.
"Trent Taylor",43.,430.,10.,28.7,33.,2.,2.,0.,27.,62.8,0.
"T.Y. Hilton",57.,966.,16.9,60.4,"80T",4.,14.,6.,38.,66.7,2.
"Tyler Boyd",22.,225.,10.2,22.5,"49T",2.,1.,1.,14.,63.6,0.
"Tyler Lockett",45.,555.,12.3,34.7,"74T",2.,5.,3.,23.,51.1,0.
"Tyreek Hill",75.,1183.,15.8,78.9,"79T",7.,15.,9.,41.,54.7,0.
"Tyrell Williams",43.,728.,16.9,45.5,"75T",4.,12.,3.,29.,67.4,1.
"Will Fuller",28.,423.,15.1,42.3,"59T",7.,7.,2.,21.,75.,0.
"Willie Snead",8.,92.,11.5,8.4,26.,0.,2.,0.,4.,50.,0.
"Zay Jones",27.,316.,11.7,21.1,33.,2.,3.,0.,19.,70.4,0.
